학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,lat,long,데이터기준일자,제공기관코드,제공기관명
B000011961,영훈고등학교,고등학교,1973-03-02,사립,본교,운영,서울특별시 강북구 미아동 471-2,서울특별시 강북구 도봉로13가길 19,7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2023-11-15,37.61468187,127.0280933,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000002167,서울명덕초등학교,초등학교,1985-05-03,공립,본교,운영,서울특별시 강동구 고덕동 487-15,서울특별시 강동구 양재대로156길 11,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2023-11-15,37.55676233,127.1450815,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000002429,서울우이초등학교,초등학교,1949-10-02,공립,본교,운영,서울특별시 강북구 수유동 409-6,서울특별시 강북구 삼양로99길 36,7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2023-11-15,37.63865468,127.0148822,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000002250,서울수명초등학교,초등학교,2008-03-01,공립,본교,운영,서울특별시 강서구 내발산동 752,서울특별시 강서구 수명로1길 84,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2023-11-15,37.55277267,126.8238445,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000013450,중경고등학교,고등학교,1982-03-01,공립,본교,운영,서울특별시 용산구 이촌동 300-302,서울특별시 용산구 이촌로84길 34,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2023-11-15,37.5176804,126.9756383,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000025375,서울위례별초등학교,초등학교,2016-05-04,공립,본교,운영,서울특별시 송파구 장지동 886,서울특별시 송파구 위례광장로 243,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2023-11-15,37.47908713,127.1450416,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000011794,선화예술고등학교,고등학교,1976-07-05,사립,본교,운영,서울특별시 광진구 능동 25,서울특별시 광진구 천호대로 664,7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2023-11-15,37.5509798,127.0870952,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000008090,성일중학교,중학교,1970-03-03,공립,본교,운영,서울특별시 동대문구 제기동 271-41,서울특별시 동대문구 왕산로23길 55,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2023-11-15,37.58185023,127.0338291,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000002322,서울문창초등학교,초등학교,1946-04-06,공립,본교,운영,서울특별시 동작구 신대방동 640,서울특별시 동작구 신대방2길 14,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2023-11-15,37.48898483,126.9148407,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000013452,한양대학교사범대학부속고등학교,고등학교,1960-05-15,사립,본교,운영,서울특별시 성동구 사근동 223,서울특별시 성동구 마조로 42,7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2023-11-15,37.56191884,127.042324,2024-03-22,C738100,청주대학교 지방교육재정연구원
B000008374,중동중학교,중학교,1906-05-10,사립,본교,운영,서울특별시 강남구 일원동 692,서울특별시 강남구 일원로8길 37,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2023-11-15,37.48851679,127.078612,2024-03-22,C738100,청주대학교 지방교육재정연구원
