번호,사업장명,소재지전체주소,도로명전체주소,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,입소정원,자격소유인원수,총인원수,인허가번호,상세영업상태명,lat,long
3608,상봉2동구립경로당,서울특별시 중랑구 상봉동 122-31번지 ,,20060613,운영중,,,,,,,0.0,0.0,0.0,3060000200600034,운영,37.5931789441724,127.082367915509
3607,새우개경로당,서울특별시 중랑구 신내동 278-11번지 ,,20060512,운영중,,,,,,,22.0,0.0,22.0,3060000200600030,운영,37.6178336380975,127.102277571164
3606,신성은하수아파트경로당,서울특별시 중랑구 면목동 1519번지 ,,20060427,운영중,,,,,,,0.0,0.0,0.0,3060000200600027,운영,37.5889191199438,127.072956118746
3605,신내동성4차아파트경로당,서울특별시 중랑구 신내동 591번지 ,,19970725,운영중,,,,,,,0.0,0.0,0.0,3060000200600026,운영,37.6067265670772,127.096444206008
3604,(사)대한노인회중랑구지회,서울특별시 중랑구 중화동 321-37번지 ,,20060427,운영중,,,,,,,0.0,0.0,0.0,3060000200600025,운영,37.595012523673,127.074833812483
3602,중앙하이츠경로당,서울특별시 중랑구 신내동 479번지 ,,20060406,운영중,,,,,,,25.0,0.0,0.0,3060000200600022,운영,37.6034907491923,127.098088211575
3601,용마한신아파트경로당,서울특별시 중랑구 면목동 1077-1번지 ,,20060406,운영중,,,,,,,25.0,0.0,0.0,3060000200600021,운영,37.5813217157076,127.095949065546
3600,본동경로당,서울특별시 중랑구 중화동 28-10번지 ,,20060406,운영중,,,,,,,0.0,0.0,25.0,3060000200600020,운영,37.6028935268739,127.082741689104
3599,면목본동경로당,서울특별시 중랑구 면목동 109-55번지 ,,20060406,운영중,,,,,,,0.0,0.0,28.0,3060000200600019,운영,37.5861200016775,127.091229658532
3598,중화극동아파트경로당,서울특별시 중랑구 중화동 19번지 ,,20060331,운영중,,,,,,,55.0,0.0,55.0,3060000200600018,운영,37.6036175349731,127.08367530046
3597,새한아파트경로당,서울특별시 중랑구 신내동 795번지 ,,20060321,운영중,,,,,,,0.0,0.0,0.0,3060000200600014,운영,37.6051905864565,127.101463214375
3596,백학경로당,서울특별시 중랑구 중화동 323-14번지 ,,20060321,운영중,,,,,,,0.0,0.0,0.0,3060000200600013,운영,37.5956455486581,127.072981708648
3595,우림경로당,서울특별시 중랑구 망우동 492-6번지 ,,20060321,운영중,,,,,,,0.0,0.0,0.0,3060000200600012,운영,37.5976600992691,127.096644935531
3594,봉황경로당,서울특별시 중랑구 상봉동 103-3번지 ,,19970605,운영중,,,,,,,25.0,0.0,0.0,3060000200600011,운영,37.5952458974699,127.088242600071
3593,신내경남아너스빌아파트경로당,서울특별시 중랑구 신내동 804번지 ,,20071001,운영중,,,,,,,0.0,0.0,1.0,3060000200700030,운영,37.6037224247933,127.096740656991
3592,경남아파트,서울특별시 중랑구 망우동 ,,19890520,운영중,,,,,,,25.0,0.0,1.0,3060000200700023,운영,37.5955130359785,127.103962394815
3591,용마산금호어울림아파트경로당,서울특별시 중랑구 면목동 1525번지 ,,20070529,운영중,,,,,,,30.0,0.0,1.0,3060000200700021,운영,37.5774275202186,127.091421465659
3590,경남아너스빌아파트경로당,서울특별시 중랑구 면목동 1529번지 ,,20070510,운영중,,,,,,,40.0,0.0,1.0,3060000200700017,운영,37.5754872890389,127.080447509343
3589,중화2동 학구경로당,서울특별시 중랑구 중화동 316-70번지 ,,20070328,운영중,,,,,,,0.0,0.0,20.0,3060000200700012,운영,37.5983197596343,127.076151933845
3588,묵1동구립경로당,서울특별시 중랑구 묵동 121-310번지 ,,20070327,운영중,,,,,,,20.0,0.0,20.0,3060000200700011,운영,37.6133011202877,127.081714163087
3587,신내우남푸르미아아파트 경로당,서울특별시 중랑구 신내동 802번지 ,,20070105,운영중,,,,,,,23.0,0.0,1.0,3060000200700002,운영,37.6061758845939,127.098837262995
3586,금호어울림아파트 경로당,서울특별시 중랑구 망우동 580번지 ,,20061226,운영중,,,,,,,51.0,0.0,1.0,3060000200600068,운영,37.6022199011735,127.109269400548
3585,섬들경로당,서울특별시 중랑구 면목동 100-65번지 ,,19780701,운영중,,,,,,,33.0,0.0,33.0,3060000200600062,운영,37.5900929778923,127.090344100341
3584,아남리치카운티아파트 경로당,서울특별시 중랑구 면목동 1505번지 ,,20061102,운영중,,,,,,,25.0,0.0,0.0,3060000200600061,운영,37.5892202979161,127.084977792095
3583,대성유니드아파트 경로당,서울특별시 중랑구 신내동 803번지 ,,20061025,운영중,,,,,,,26.0,0.0,26.0,3060000200600060,운영,37.6027185951523,127.096455225663
3582,상봉 건영캐스빌아파트 경로당,서울특별시 중랑구 상봉동 499번지 ,,20061023,운영중,,,,,,,24.0,0.0,24.0,3060000200600058,운영,37.6025354672198,127.091187076268
3581,피울경로당,서울특별시 중랑구 신내동 417-2번지 ,,20080603,운영중,,,,,,,72.0,0.0,0.0,3060000200800032,운영,37.6061751765177,127.099679163504
3580,중화1동 통합경로당,서울특별시 중랑구 중화동 37-4번지 ,,20080425,운영중,,,,,,,60.0,0.0,0.0,3060000200800021,운영,37.6032864932665,127.081119992045
3579,해모르아파트경로당,서울특별시 중랑구 망우동 578번지 ,,20080321,운영중,,,,,,,27.0,0.0,0.0,3060000200800015,운영,37.6027792794232,127.11009498182
3577,용마동아아파트경로당,서울특별시 중랑구 면목동 1499번지 ,,20090706,운영중,,,,,,,0.0,0.0,0.0,3060000200900021,운영,37.5788718534659,127.094909721926
3576,한일써너스빌리젠시경로당,서울특별시 중랑구 망우동 479번지 ,,20090624,운영중,,,,,,,0.0,0.0,0.0,3060000200900018,운영,37.5973351400052,127.093477736804
3575,태릉시장 경로당,서울특별시 중랑구 중화동 314-1번지 306호,,20090404,운영중,,,,,,,0.0,0.0,0.0,3060000200900007,운영,37.5992798892602,127.077484271471
3574,면목마젤란아파트경로당,서울특별시 중랑구 면목동 1531번지 ,,20090813,운영중,,,,,,,0.0,0.0,0.0,3060000200900023,운영,37.5868340887344,127.084126489209
3573,충신 경로당,서울특별시 동작구 노량진동 186-1번지 ,,19990720,운영중,,,,,,,0.0,0.0,0.0,3190000111100031,운영,37.5128078771035,126.949321087097
3572,삼호A,서울특별시 동작구 상도동 408번지 ,,19970324,운영중,,,,,,,0.0,0.0,0.0,3190000111100029,운영,37.4935295589991,126.95743119907
3571,현대아파트 경로당,서울특별시 동작구 상도1동 ,,19990105,운영중,,,,,,,0.0,0.0,0.0,3190000111100028,운영,37.50324263284,126.94974984805
3570,대림아파트 경로당,서울특별시 동작구 상도동 411번지 ,,19961213,운영중,,,,20150101.0,,,0.0,0.0,0.0,3190000111100027,운영,37.4929953027688,126.953477580217
3569,고경 경로당,서울특별시 동작구 상도동 ,,19871201,운영중,,,,,,,0.0,0.0,0.0,3190000111100026,운영,37.4985163075707,126.939014238644
3568,청송,서울특별시 동작구 상도동 ,,19750902,운영중,,,,,,,0.0,0.0,0.0,3190000111100025,운영,37.4985163075707,126.939014238644
3567,송학,서울특별시 동작구 상도동 210-249번지 ,,19750902,운영중,,,,,,,0.0,0.0,0.0,3190000111100024,운영,37.499119194874,126.941557329864
3566,성대골,서울특별시 동작구 상도동 261-16번지 ,,19961129,운영중,,,,,,,44.0,0.0,0.0,3190000111100023,운영,37.4973217608862,126.934973758174
3565,약수,서울특별시 동작구 상도동 211-438번지 ,,19870121,운영중,,,,,,,0.0,0.0,0.0,3190000111100022,운영,37.4995771545738,126.944886538377
3564,성대,서울특별시 동작구 상도동 336-5번지 ,,19770501,운영중,,,,,,,34.0,0.0,0.0,3190000111100021,운영,37.5012607979821,126.930267545287
3563,상도3동,서울특별시 동작구 상도동 ,,19860520,운영중,,,,,,,27.0,0.0,0.0,3190000111100020,운영,37.4985163075707,126.939014238644
3562,건영A,서울특별시 동작구 상도동 414번지 ,,19980930,운영중,,,,,,,0.0,0.0,0.0,3190000111100019,운영,37.5071679625468,126.949774021816
3561,낙원,서울특별시 동작구 상도동 28-24번지 ,,19861122,운영중,,,,,,,0.0,0.0,0.0,3190000111100017,운영,37.5039589170403,126.944867936556
3560,장수,서울특별시 동작구 상도동 200-52번지 ,,19720101,운영중,,,,,,,0.0,0.0,0.0,3190000111100016,운영,37.5018537196167,126.939006208922
3559,상도2동 경로당,서울특별시 동작구 상도동 159-330번지 ,,19680303,운영중,,,,,,,0.0,0.0,0.0,3190000111100008,운영,37.502230044361,126.946185270714
3558,터널,서울특별시 동작구 상도1동 535번지 ,,19870123,운영중,,,,,,,0.0,0.0,0.0,3190000111100007,운영,37.5065029331866,126.951285814904
3557,상도1동 경로당,서울특별시 동작구 상도동 ,,19870901,운영중,,,,,,,0.0,0.0,0.0,3190000111100006,운영,37.4985163075707,126.939014238644
3556,백송 경로당,서울특별시 동작구 노량진동 273-19번지 ,,19971127,운영중,,,,,,,0.0,0.0,0.0,3190000111100005,운영,37.510477594112,126.93543625877
3555,백로,서울특별시 동작구 노량진동 314-6번지 ,,19781201,운영중,,,,,,,0.0,0.0,0.0,3190000111100004,운영,37.5069765384433,126.938432921358
3554,우성아파트 경로당,서울특별시 동작구 노량진동 323번지 ,,19961105,운영중,,,,,,,0.0,0.0,0.0,3190000111100003,운영,37.5096291040511,126.947804247748
3552,대한경로당,서울특별시 동작구 노량진동 84-33번지 ,,19671228,운영중,,,,,,,92.0,0.0,0.0,3190000111100001,운영,37.5116852417086,126.942656097394
